epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,462.406,1.37282,3.20249,1.56383,0.01549,0.75599,0.08648,0.03428,0.98323,3.05169,1.276,0.00192,0.00064,0.00192,0.00064,0.00192,0.00064,0.00192,0.00064
2,803.938,1.08191,2.99936,1.33372,0.01695,0.82724,0.20912,0.10475,0.84959,2.86614,1.11452,0.00386783,0.00128927,0.00386783,0.00128927,0.00386783,0.00128927,0.00386783,0.00128927
3,1223.29,0.96483,2.70292,1.19159,0.49648,0.35997,0.33213,0.19575,0.81932,2.51282,1.05479,0.00578298,0.00192766,0.00578298,0.00192766,0.00578298,0.00192766,0.00578298,0.00192766
4,1629.06,0.93256,2.28711,1.15075,0.38087,0.58008,0.38582,0.24638,0.85763,1.87163,1.07508,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
5,1996.44,0.95132,1.90955,1.15793,0.48104,0.60719,0.48354,0.31217,0.81977,1.68866,1.04881,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934
6,2446.06,0.91301,1.64448,1.13868,0.40967,0.69735,0.49362,0.32301,0.78192,1.58717,1.01519,0.0057525,0.0019175,0.0057525,0.0019175,0.0057525,0.0019175,0.0057525,0.0019175
7,3044.85,0.88379,1.56322,1.10451,0.4783,0.71501,0.55112,0.35398,0.75133,1.51957,0.99355,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
8,3454.99,0.84239,1.49577,1.05655,0.53051,0.69798,0.60228,0.41029,0.71436,1.43694,0.97046,0.0056535,0.0018845,0.0056535,0.0018845,0.0056535,0.0018845,0.0056535,0.0018845
9,3799.08,0.80903,1.44633,1.05749,0.55483,0.71982,0.62945,0.44422,0.69873,1.38904,0.96336,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868
10,4185.11,0.77332,1.36678,1.03428,0.56855,0.73366,0.65249,0.47871,0.67135,1.33318,0.94504,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
11,4520.29,0.78137,1.36394,1.03646,0.5852,0.74653,0.69426,0.51272,0.65697,1.28372,0.9324,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835
12,4794.87,0.79053,1.30672,1.04072,0.62494,0.74527,0.71291,0.52527,0.67849,1.25809,0.93517,0.0054555,0.0018185,0.0054555,0.0018185,0.0054555,0.0018185,0.0054555,0.0018185
13,5113.92,0.76952,1.28224,1.02159,0.6431,0.77427,0.74081,0.558,0.64662,1.22185,0.92439,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
14,5407.61,0.7617,1.23796,1.00474,0.65572,0.79379,0.77178,0.59447,0.62664,1.15563,0.91367,0.0053565,0.0017855,0.0053565,0.0017855,0.0053565,0.0017855,0.0053565,0.0017855
15,5717.82,0.74285,1.19894,0.99563,0.67395,0.77049,0.77969,0.60852,0.61427,1.11208,0.90793,0.005307,0.001769,0.005307,0.001769,0.005307,0.001769,0.005307,0.001769
16,6021.86,0.73287,1.1571,0.9871,0.72332,0.75989,0.80461,0.63666,0.60198,1.06719,0.90208,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
17,6363.09,0.72204,1.11026,0.98636,0.72601,0.78689,0.8159,0.65883,0.59826,1.01631,0.89593,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
18,6789.35,0.69695,1.09473,0.98169,0.73156,0.7995,0.83166,0.6652,0.59019,1.00776,0.89752,0.0051585,0.0017195,0.0051585,0.0017195,0.0051585,0.0017195,0.0051585,0.0017195
19,7206.64,0.7118,1.08795,0.98358,0.76366,0.81083,0.85681,0.69381,0.59318,0.98094,0.89154,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
20,7512.51,0.71772,1.07213,0.98162,0.74948,0.814,0.8529,0.68084,0.58535,0.99965,0.88775,0.0050595,0.0016865,0.0050595,0.0016865,0.0050595,0.0016865,0.0050595,0.0016865
21,7759.46,0.70352,1.02014,0.98094,0.80504,0.83165,0.87996,0.72703,0.57088,0.88775,0.87987,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
22,8003.19,0.69216,0.97684,0.97536,0.81956,0.84615,0.90013,0.74889,0.56894,0.84806,0.87773,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
23,8258.8,0.68082,0.97987,0.96911,0.83019,0.8348,0.90365,0.75099,0.56542,0.85708,0.8761,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637
24,8501.78,0.66824,0.93403,0.95993,0.84268,0.87768,0.917,0.77884,0.56118,0.78981,0.87102,0.0048615,0.0016205,0.0048615,0.0016205,0.0048615,0.0016205,0.0048615,0.0016205
25,8741.86,0.68438,0.94623,0.96902,0.86796,0.86696,0.92731,0.78208,0.55377,0.77884,0.87143,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
26,8976.85,0.67783,0.93408,0.96971,0.87725,0.88777,0.93836,0.79352,0.55375,0.74256,0.86897,0.0047625,0.0015875,0.0047625,0.0015875,0.0047625,0.0015875,0.0047625,0.0015875
27,9224.96,0.66965,0.88839,0.95663,0.87645,0.90858,0.9443,0.81034,0.53987,0.6903,0.85953,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571
28,9475.36,0.67382,0.86119,0.96151,0.91101,0.8908,0.94756,0.81466,0.53239,0.67061,0.85867,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
29,9737.31,0.66276,0.83401,0.95052,0.91895,0.89786,0.95168,0.82305,0.52625,0.66492,0.85153,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
30,9975.02,0.64391,0.78531,0.93981,0.92478,0.90696,0.958,0.83217,0.51869,0.62911,0.84934,0.0045645,0.0015215,0.0045645,0.0015215,0.0045645,0.0015215,0.0045645,0.0015215
31,10278.1,0.64238,0.78406,0.93932,0.93152,0.92434,0.96184,0.8372,0.51703,0.61656,0.84853,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
32,10565.7,0.63639,0.78845,0.94284,0.92331,0.92612,0.95997,0.83427,0.51881,0.63975,0.84703,0.0044655,0.0014885,0.0044655,0.0014885,0.0044655,0.0014885,0.0044655,0.0014885
33,10859.8,0.64341,0.76309,0.94167,0.90318,0.91171,0.94961,0.80412,0.52311,0.72102,0.847,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
